,title,rating,isEdited,content,userName,date,developerBody,developerID,developerModified
607,Not so good anymore,1,False,not so good anymore. loved and relied on this app until ios 9.  crash and burn now!  please fix!!!!,ArizRedHead,2015-09-21 02:28:52,nan,nan,nan
608,Not working,2,False,not working. not working. launches and then closes.,T_eresa,2015-09-20 19:14:27,nan,nan,nan
609,LouisetheGreat,1,False,louisethegreat. crashed at start up. cannot use the app!,Nudweina,2013-05-22 00:13:48,nan,nan,nan
610,Excellent app,5,False,excellent app. thanks!,Sanchester21,2012-05-15 14:29:15,nan,nan,nan
611,Broken.,1,False,broken. so sad that it stopped working on my ipad.     crashes on startup.   it was my new favorite app as i go through treatment at mayo  hope they fix it soon.    5 stars when it's working.,Harry iPhone,2013-05-21 13:51:18,nan,nan,nan
612,ISO 9,1,False,iso 9. please update!!! this app is very important for my appointments. it crashes on opening.,Leandro's girl,2015-09-24 20:37:46,nan,nan,nan
613,Does not work with iOS9 on iPhone,1,False,does not work with ios9 on iphone. very frustrating....does not work with ios9 on iphone,Atergos,2015-09-20 14:35:54,nan,nan,nan
614,OK but could be better,3,False,"ok but could be better. i've used both the app and the online portal extensively and while both were ahead of their time initially, in today's world when most provider's provide a portal to patient information, i find mayo's portal is becoming antiquated.  overall, you can do more using the online portal, but the app is more user friendly when it works. it can be glitchy and if this occurs, deleting and reinstalling the app may improve glitch issues.  things i'd like to see improved with both:  a patient note section that patients can use to create their own notes. having someplace central where patients can keep information  relevant to their appointments or care, would allow us to have one central repository for all our information. currently i use evernote for my notes, so jumping back and forth between the 2 is cumbersome.  the messaging utility is lacking. for people who have periodic physicals at mayo's it's frustrating. any contacts from one physical are removed and replaced when another physical occurs, yet many of those earlier providers are still relevant and should be left accessible to patients.  executive physicals manipulates the contact information in a sort of heavy handed manner. rather than providing patients with access to all their care givers, the executive team doesn't want patients to communicate directly with their main provider. they route all communications through them which adds days onto any communications...not a great scenario when timely information is important.    this one aspect alone impairs the whole executive physical so much that i think it negates the positive concierge aspects of this service. in the end, patients medical needs are primary and the executive physicals program needs to rethink how they restrict patients' access to their providers...especially in light of the increased costs involved in using this service versus the more traditional one for physicals.  patient access to their medical information is quick and generally good, but there are a few problems. the most notable being that things like final reports for longer stays and physicals should be available via the portal. these reports are usually mailed or sent by email and should be included with all the other reports.   finding medical information with the app or the portal is unnecessarily complex. i don't know how it can be fixed...but it needs to be. random reports that don't seem to fall into other categories sometimes show up under the continuity of care section. reports from older visits are oftentimes removed when newer visits occur...but these old reports are still important.   most patients coming to mayo's have greater medical needs or more complex issues than your average patient. mayo's isn't usually their primary care provider either, so they rely more heavily upon the reports which their primary care givers need. this function currently has bottlenecks ranging from:  - reports just never being available like full follow up summaries - reports being removed when new visits occur - some really old reports like medications lists are stuck in there and even though newer ones have been supplied and may be found somewhere else...the old ones just confuse both providers and patients. - there should be better ways for patients to export data in the reports. while exporting a complete report is possible...sometimes just a portion of it is needed. i use the print - to pdf method on ios to extract this information...but most people don't know how to do this and there should be simpler methods.  lab results are exemplary in that they include historic results and provide graphs when appropriate. this is a good example of reporting at it's best.   when i was there i found the app didn't always provide me with the most current appointment schedule, so i ended up relying on the paper schedules that other reviewers have mentioned too.  overall the app and portal are ok. they once set the gold standard for patient's access to medical information but today both seem like they need at a minimum to be brought up to current standards.   better yet would be to improve these aspects to keep pace with the world renowned medical reputation mayo's continues to garner.",vsatips,2017-03-29 18:45:44,nan,nan,nan
615,Not opening on iPad update 9,1,False,"not opening on ipad update 9. not opening on v9 ipad. cannot delete. icon black, message installing.",Thundermama,2015-09-28 02:03:04,nan,nan,nan
616,Not ready for prime time,1,False,not ready for prime time. no integration with pharmacy refill. requires another set of logins and passwords.,Dr. B1104,2016-08-19 15:55:49,nan,nan,nan
617,iOS 9 update needed,1,False,ios 9 update needed. app won't open.,Monibird,2015-09-22 05:37:14,nan,nan,nan
618,App will not load,1,False,app will not load. this app will not load since implementing ios9.,4SeasonGrowing,2015-09-17 20:04:08,nan,nan,nan
619,Crashes on startup - ios9,1,False,crashes on startup - ios9. crashes on startup - ios9. unusable.,41off,2015-09-21 13:28:10,nan,nan,nan
620,Online assistance,3,False,online assistance. how can i ask about online assistance when the question is “the mayo number” when that is the item i’m trying to find.before my first visit? no number was assigned to me before my first visit!,Tegeo,2019-12-08 17:51:38,nan,nan,nan
621,Mayo Clinic App,5,False,mayo clinic app. great!,Max0003,2013-02-20 20:17:16,nan,nan,nan
622,Does NOT work with IPAD and IOS9,1,False,does not work with ipad and ios9. can not use with ipad air and ios9.,Bigdaddyinjax,2015-09-18 17:12:48,nan,nan,nan
623,I  hiM  ok Iii,5,False,i  him  ok iii. i mk joe mini iliuukokoo z no no,Nicko615,2021-04-25 19:35:11,nan,nan,nan
624,Patient,5,False,patient. excellent app. mayo clinic arizona ...... super staff,dtthweatt,2021-01-08 13:37:55,nan,nan,nan
625,Cannot get the questionnaire to open. Just keeps going in circles 😩,1,False,cannot get the questionnaire to open. just keeps going in circles 😩. questionnaire will not open,Mama Combs,2020-04-15 00:56:15,nan,nan,nan
626,Difficult,1,False,difficult. difficult,doreeyatescolter,2018-05-14 15:07:51,Sorry you're having trouble using the app - please feel free to send a direct email to our team at mcmobileapps@mayo.edu and someone will investigate the issues you're experiencing.,3544658.0,2018-05-21T19:05:14Z
627,Best app ever!,5,False,best app ever! ^^,andrewman23,2020-11-03 12:38:55,nan,nan,nan
628,Unusable now,1,False,"unusable now. now that you have to enter a six digit code (2 factor authentication) sent via text, i can no longer access my account. the app states in a window that you have to enter the code and i do get the code texted to me but there is no place to actually enter the code so your options are request a new code or cancel. frustrating!!!!",JailerJoe,2022-05-09 17:25:30,nan,nan,nan
629,Won’t let me log in,1,False,won’t let me log in. it keeps asking for code but has no spot for code,Dmanlarry,2022-05-09 15:25:56,nan,nan,nan
630,Can’t get into portal,2,False,"can’t get into portal. i used to love this app but i’m suddenly no longer able to get into it. it asks me to enter a 6 digit code that i receive via text, however it doesn’t give me anywhere to put the code. it’s pretty useless to me right now.",akrolli,2022-05-05 20:56:46,nan,nan,nan
631,App hasn’t worked for ages,1,False,"app hasn’t worked for ages. this app used to work great; however, it hasn’t worked for almost a year now and no one seems to care. i’m signing in with the correct username and password (i know it’s correct because i can sign in with it in the website) but the app tells me my login info is incorrect. i’ve tried to contact mayo several times to get the issue fixed and i’m met with silence. why have an app if it doesn’t work?",Half Crispy Duck,2021-12-31 02:23:35,nan,nan,nan
632,Horrible,1,False,horrible. i’ve repeatedly asked to speak to someone about the situation no response. stephanie cantees 205-294-2372,toonie12,2021-11-30 06:03:11,nan,nan,nan
633,E-check Fails,1,False,"e-check fails. i was quite satisfied with the app until the latest update: i’m no longer able to upload the e-check qr code into the wallet. that was so convenient!!! a shame, really.",PLGLSE,2021-06-28 15:36:47,nan,nan,nan
634,Mr. Felipe G Calzadilla # 12 8606 73,5,False,"mr. felipe g calzadilla # 12 8606 73. 9433 s stanley pl. tempe az 85284. telephone 786 350 0546 i am supposed to have an appointment with dr. kahline or dr. collin. tomorrow at about 10;30 am, please! i need a little help. i start and after listing the medication, when i am trying to continue it has disappeared. please help. felipe g calzadilla. march 9 / 2021.",selipito,2021-03-09 17:38:30,nan,nan,nan
635,Possible Patient,5,False,"possible patient. i’m not sure if i’m a mayo clinic patient??? in other words, i think someone might be doing fraud on my info...can you please have a rep contact me asap to straighten this out? ckeller 619-673-3763",Kittysland,2020-11-03 23:59:31,nan,nan,nan
